mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,override_action,reason_code,human_note,review_status
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Rail,Hydrogen,ESTO,15.03 Rail,16.12 Hydrogen,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Rail,LPG,ESTO,15.03 Rail,07.08 Fuel oil,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Rail,Motor gasoline,ESTO,15.03 Rail,02.08 BKB/PB,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Ammonia,ESTO,15.04 Domestic navigation,16.10 Ammonia,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Biogasoline,ESTO,15.04 Domestic navigation,16.05 Biogasoline,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Efuel,ESTO,15.04 Domestic navigation,16.11 E-fuel,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Fuel oil,ESTO,15.04 Domestic navigation,07.07 Gas/diesel oil,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Gas and diesel oil,ESTO,15.04 Domestic navigation,07.06 Kerosene,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Hydrogen,ESTO,15.04 Domestic navigation,16.06 Biodiesel,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,Hydrogen,ESTO,15.04 Domestic navigation,16.12 Hydrogen,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,LNG,ESTO,15.04 Domestic navigation,08.02 LNG,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Passenger non road/Shipping,LPG,ESTO,15.04 Domestic navigation,07.08 Fuel oil,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Pipeline transport,Fuel oil,ESTO,15.05 Pipeline transport,07.07 Gas/diesel oil,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Pipeline transport,Gas and diesel oil,ESTO,15.05 Pipeline transport,07.06 Kerosene,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Pipeline transport,LPG,ESTO,15.05 Pipeline transport,07.08 Fuel oil,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Transport non road/Pipeline transport,Natural gas,ESTO,15.05 Pipeline transport,07.09 LPG,exclude,cartesian_pair_not_reviewed,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Agriculture and fishing,Hydrogen,NINTH,16_02_agriculture_and_fishing,16_x_hydrogen,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Agriculture and fishing,Other liquid biofuels,NINTH,16_02_agriculture_and_fishing,16_08_other_liquid_biofuels,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Agriculture and fishing,Other sources,NINTH,16_02_agriculture_and_fishing,16_09_other_sources,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings,Solar nonspecified,NINTH,16_01_buildings,12_solar_unallocated,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Residential,Solar nonspecified,NINTH,16_01_02_residential,12_solar_unallocated,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Anthracite,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,01_x_thermal_coal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Aviation gasoline,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,07_02_aviation_gasoline,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,BKB and PB,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Biodiesel,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_06_biodiesel,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Biogas,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_01_biogas,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Biogasoline,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,16_05_biogasoline,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Blast furnace gas,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Charcoal,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,15_03_charcoal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Coal tar,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services,Coke oven coke,NINTH,16_01_01_commercial_and_public_services_incl_datacentres,02_coal_products,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
