mapping_name,comparison_scope,source_system,source_product,target_system,target_product,relationship_semantics,notes
leap_to_esto,BOTH,LEAP,Municipal solid waste non renewable,ESTO,16.04 Municipal solid waste (non-renewable),many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Municipal solid waste renewable,ESTO,16.03 Municipal solid waste (renewable),many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Natural gas,ESTO,08.01 Natural gas,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other biomass,ESTO,15.05 Other biomass,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other bituminous coal,ESTO,01.02 Other bituminous coal,many_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other recovered gases,ESTO,02.05 Other recovered gases,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Patent fuel,ESTO,02.06 Patent fuel,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Solar nonspecified,ESTO,12.99 Solar nonspecified,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Sub bituminous coal,ESTO,01.03 Sub-bituminous coal,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Coking coal,ESTO,01.01 Coking coal,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Other products,ESTO,07.17 Other products,one_to_one,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Peat,ESTO,03 Peat,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Peat products,ESTO,04 Peat products,many_to_many,Derived from active reviewed pair mappings; prototype only.
leap_to_esto,BOTH,LEAP,Petroleum coke,ESTO,07.16 Petroleum coke,one_to_one,Derived from active reviewed pair mappings; prototype only.
