mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,relationship_status,target_pair_registry_status
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Anthracite,ESTO,09.08.04 BKB/PB plants,01.04 Anthracite,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,BKB and PB,ESTO,09.08.04 BKB/PB plants,02.08 BKB/PB,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Blast furnace gas,ESTO,09.08.04 BKB/PB plants,02.04 Blast furnace gas,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coal tar,ESTO,09.08.04 BKB/PB plants,02.07 Coal tar,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coke oven coke,ESTO,09.08.04 BKB/PB plants,01.05 Lignite,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coke oven coke,ESTO,09.08.04 BKB/PB plants,02.01 Coke oven coke,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coke oven gas,ESTO,09.08.04 BKB/PB plants,02.03 Coke oven gas,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Coking coal,ESTO,09.08.04 BKB/PB plants,01.01 Coking coal,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Electricity,ESTO,09.08.04 BKB/PB plants,17 Electricity,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Fuel oil,ESTO,09.08.04 BKB/PB plants,07.08 Fuel oil,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Gas and diesel oil,ESTO,09.08.04 BKB/PB plants,07.07 Gas/diesel oil,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Industrial waste,ESTO,09.08.04 BKB/PB plants,16.02 Industrial waste,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Kerosene,ESTO,09.08.04 BKB/PB plants,07.06 Kerosene,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,LPG,ESTO,09.08.04 BKB/PB plants,07.09 LPG,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Lignite,ESTO,09.08.04 BKB/PB plants,01.04 Anthracite,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Lignite,ESTO,09.08.04 BKB/PB plants,01.05 Lignite,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Natural gas,ESTO,09.08.04 BKB/PB plants,08.01 Natural gas,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Other bituminous coal,ESTO,09.08.04 BKB/PB plants,01.02 Other bituminous coal,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Other products,ESTO,09.08.04 BKB/PB plants,07.17 Other products,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Other recovered gases,ESTO,09.08.04 BKB/PB plants,02.05 Other recovered gases,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Patent fuel,ESTO,09.08.04 BKB/PB plants,02.06 Patent fuel,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Peat,ESTO,09.08.04 BKB/PB plants,03 Peat,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Peat products,ESTO,09.08.04 BKB/PB plants,03 Peat,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Peat products,ESTO,09.08.04 BKB/PB plants,04 Peat products,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Petroleum coke,ESTO,09.08.04 BKB/PB plants,07.16 Petroleum coke,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Sub bituminous coal,ESTO,09.08.04 BKB/PB plants,01.02 Other bituminous coal,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Sub bituminous coal,ESTO,09.08.04 BKB/PB plants,01.03 Sub-bituminous coal,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Anthracite,ESTO,09.08.02 Blast furnaces (including own use),01.04 Anthracite,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Blast furnace gas,ESTO,09.08.02 Blast furnaces (including own use),02.04 Blast furnace gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coal tar,ESTO,09.08.02 Blast furnaces (including own use),02.07 Coal tar,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coke oven coke,ESTO,09.08.02 Blast furnaces (including own use),02.01 Coke oven coke,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coke oven gas,ESTO,09.08.02 Blast furnaces (including own use),02.03 Coke oven gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Coking coal,ESTO,09.08.02 Blast furnaces (including own use),01.01 Coking coal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Electricity,ESTO,09.08.02 Blast furnaces (including own use),17 Electricity,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Fuel oil,ESTO,09.08.02 Blast furnaces (including own use),07.08 Fuel oil,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Natural gas,ESTO,09.08.02 Blast furnaces (including own use),08.01 Natural gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Other bituminous coal,ESTO,09.08.02 Blast furnaces (including own use),01.02 Other bituminous coal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Other recovered gases,ESTO,09.08.02 Blast furnaces (including own use),02.05 Other recovered gases,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Blast furnaces/Blast furnaces,Patent fuel,ESTO,09.08.02 Blast furnaces (including own use),02.06 Patent fuel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Anthracite,ESTO,16.01-16.02 Buildings,01.03 Sub-bituminous coal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Aviation gasoline,ESTO,16.01-16.02 Buildings,07.01 Motor gasoline,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,BKB and PB,ESTO,16.01-16.02 Buildings,02.07 Coal tar,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Bagasse,ESTO,16.01-16.02 Buildings,04 Peat products,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Bagasse,ESTO,16.01-16.02 Buildings,15.02 Bagasse,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Biodiesel,ESTO,16.01-16.02 Buildings,16.05 Biogasoline,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Biogas,ESTO,16.01-16.02 Buildings,15.05 Other biomass,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Biogasoline,ESTO,16.01-16.02 Buildings,16.04 Municipal solid waste (non-renewable),current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Blast furnace gas,ESTO,16.01-16.02 Buildings,02.03 Coke oven gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Charcoal,ESTO,16.01-16.02 Buildings,15.01 Fuelwood & woodwaste,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Coal tar,ESTO,16.01-16.02 Buildings,02.06 Patent fuel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Coke oven coke,ESTO,16.01-16.02 Buildings,01.05 Lignite,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Coke oven gas,ESTO,16.01-16.02 Buildings,02.01 Coke oven coke,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Electricity,ESTO,16.01-16.02 Buildings,16.12 Hydrogen,current_relationship_not_compiled,zero_only
leap_to_esto,BOTH,LEAP,Buildings,Fuel oil,ESTO,16.01-16.02 Buildings,07.07 Gas/diesel oil,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Fuelwood and woodwaste,ESTO,16.01-16.02 Buildings,12.99 Solar nonspecified,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Gas and diesel oil,ESTO,16.01-16.02 Buildings,07.06 Kerosene,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Gas works gas,ESTO,16.01-16.02 Buildings,08.01 Natural gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Geothermal,ESTO,16.01-16.02 Buildings,08.03 Gas works gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Heat,ESTO,16.01-16.02 Buildings,17 Electricity,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Hydrogen,ESTO,16.01-16.02 Buildings,16.06 Biodiesel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Industrial waste,ESTO,16.01-16.02 Buildings,16.01 Biogas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Kerosene,ESTO,16.01-16.02 Buildings,07.05 Kerosene type jet fuel,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Kerosene type jet fuel,ESTO,16.01-16.02 Buildings,07.02 Aviation gasoline,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,LPG,ESTO,16.01-16.02 Buildings,07.08 Fuel oil,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Lignite,ESTO,16.01-16.02 Buildings,01.04 Anthracite,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Motor gasoline,ESTO,16.01-16.02 Buildings,02.08 BKB/PB,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Municipal solid waste non renewable,ESTO,16.01-16.02 Buildings,16.03 Municipal solid waste (renewable),current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Municipal solid waste renewable,ESTO,16.01-16.02 Buildings,16.02 Industrial waste,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Natural gas,ESTO,16.01-16.02 Buildings,07.09 LPG,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Other biomass,ESTO,16.01-16.02 Buildings,15.03 Charcoal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Other recovered gases,ESTO,16.01-16.02 Buildings,02.04 Blast furnace gas,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Patent fuel,ESTO,16.01-16.02 Buildings,02.05 Other recovered gases,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Peat,ESTO,16.01-16.02 Buildings,18 Heat,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Peat products,ESTO,16.01-16.02 Buildings,03 Peat,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Solar nonspecified,ESTO,16.01-16.02 Buildings,11 Geothermal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings,Sub bituminous coal,ESTO,16.01-16.02 Buildings,01.02 Other bituminous coal,current_relationship_not_compiled,absent
leap_to_esto,BOTH,LEAP,Buildings/Residential,Anthracite,ESTO,16.02 Residential,01.03 Sub-bituminous coal,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Anthracite,ESTO,16.02 Residential,01.04 Anthracite,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,BKB and PB,ESTO,16.02 Residential,02.08 BKB/PB,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Bagasse,ESTO,16.02 Residential,04 Peat products,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Bagasse,ESTO,16.02 Residential,15.02 Bagasse,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biodiesel,ESTO,16.02 Residential,16.05 Biogasoline,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biodiesel,ESTO,16.02 Residential,16.06 Biodiesel,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biogas,ESTO,16.02 Residential,15.05 Other biomass,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biogas,ESTO,16.02 Residential,16.01 Biogas,exact_relationship_match,data_valid
