comparison_scope,component_esto_flow,component_esto_product,current_component_signature,compiled_component_signature,membership_status
esto_extended_leap,02 Imports,02.07 Coal tar,02 Imports::02.07 Coal tar,02 Imports::02.07 Coal tar,unchanged
esto_extended_leap,02 Imports,02.08 BKB/PB,02 Imports::02.08 BKB/PB,02 Imports::02.08 BKB/PB,unchanged
esto_extended_leap,02 Imports,03 Peat,02 Imports::03 Peat,02 Imports::03 Peat,unchanged
esto_extended_leap,02 Imports,04 Peat products,02 Imports::04 Peat products,02 Imports::04 Peat products,unchanged
esto_extended_leap,02 Imports,05 Oil shale and oil sands,02 Imports::05 Oil shale and oil sands,02 Imports::05 Oil shale and oil sands,unchanged
esto_extended_leap,02 Imports,06.01 Crude oil,02 Imports::06.01 Crude oil,02 Imports::06.01 Crude oil,unchanged
esto_extended_leap,02 Imports,06.02 Natural gas liquids,02 Imports::06.02 Natural gas liquids,02 Imports::06.02 Natural gas liquids,unchanged
esto_extended_leap,02 Imports,06.03 Refinery feedstocks,02 Imports::06.03 Refinery feedstocks,02 Imports::06.03 Refinery feedstocks,unchanged
esto_extended_leap,02 Imports,06.04 Additives/ oxygenates,02 Imports::06.04 Additives/ oxygenates,02 Imports::06.04 Additives/ oxygenates,unchanged
esto_extended_leap,02 Imports,06.05 Other hydrocarbons,02 Imports::06.05 Other hydrocarbons,02 Imports::06.05 Other hydrocarbons,unchanged
esto_extended_leap,02 Imports,07.01 Motor gasoline,02 Imports::07.01 Motor gasoline,02 Imports::07.01 Motor gasoline,unchanged
esto_extended_leap,02 Imports,07.02 Aviation gasoline,02 Imports::07.02 Aviation gasoline,02 Imports::07.02 Aviation gasoline,unchanged
esto_extended_leap,02 Imports,07.03 Naphtha,02 Imports::07.03 Naphtha,02 Imports::07.03 Naphtha,unchanged
esto_extended_leap,02 Imports,07.04 Gasoline type jet fuel,02 Imports::07.04 Gasoline type jet fuel,02 Imports::07.04 Gasoline type jet fuel,unchanged
esto_extended_leap,02 Imports,07.05 Kerosene type jet fuel,02 Imports::07.05 Kerosene type jet fuel,02 Imports::07.05 Kerosene type jet fuel,unchanged
