mapping_name,source_sheet,workbook_row_number,source_system,source_flow,source_product,target_system,target_flow,target_product,target_pair_is_subtotal,comparison_scope,notes,diagnostic_reason
ninth_to_esto,ninth_pairs_to_esto_pairs,2416,NINTH,,,ESTO,11 Statistical discrepancy,01.04 Anthracite,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2417,NINTH,,,ESTO,11 Statistical discrepancy,01.05 Lignite,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2418,NINTH,,,ESTO,11 Statistical discrepancy,02.01 Coke oven coke,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2419,NINTH,,,ESTO,11 Statistical discrepancy,02.03 Coke oven gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2420,NINTH,,,ESTO,11 Statistical discrepancy,02.04 Blast furnace gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2421,NINTH,,,ESTO,11 Statistical discrepancy,02.05 Other recovered gases,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2422,NINTH,,,ESTO,11 Statistical discrepancy,02.06 Patent fuel,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2423,NINTH,,,ESTO,11 Statistical discrepancy,02.07 Coal tar,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2424,NINTH,,,ESTO,11 Statistical discrepancy,02.08 BKB/PB,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2425,NINTH,,,ESTO,11 Statistical discrepancy,06.01 Crude oil,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2426,NINTH,,,ESTO,11 Statistical discrepancy,06.02 Natural gas liquids,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2427,NINTH,,,ESTO,11 Statistical discrepancy,06.03 Refinery feedstocks,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2428,NINTH,,,ESTO,11 Statistical discrepancy,06.05 Other hydrocarbons,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2429,NINTH,,,ESTO,11 Statistical discrepancy,07.01 Motor gasoline,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2430,NINTH,,,ESTO,11 Statistical discrepancy,07.02 Aviation gasoline,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2431,NINTH,,,ESTO,11 Statistical discrepancy,07.03 Naphtha,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2432,NINTH,,,ESTO,11 Statistical discrepancy,07.05 Kerosene type jet fuel,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2433,NINTH,,,ESTO,11 Statistical discrepancy,07.06 Kerosene,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2434,NINTH,,,ESTO,11 Statistical discrepancy,07.07 Gas/diesel oil,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2435,NINTH,,,ESTO,11 Statistical discrepancy,07.08 Fuel oil,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2436,NINTH,,,ESTO,11 Statistical discrepancy,07.09 LPG,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2437,NINTH,,,ESTO,11 Statistical discrepancy,07.10 Refinery gas (not liquefied),False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2438,NINTH,,,ESTO,11 Statistical discrepancy,07.11 Ethane,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2439,NINTH,,,ESTO,11 Statistical discrepancy,07.12 White spirit SBP,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2440,NINTH,,,ESTO,11 Statistical discrepancy,07.13 Lubricants,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2441,NINTH,,,ESTO,11 Statistical discrepancy,07.14 Bitumen,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2442,NINTH,,,ESTO,11 Statistical discrepancy,07.15 Paraffin waxes,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2443,NINTH,,,ESTO,11 Statistical discrepancy,07.16 Petroleum coke,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2444,NINTH,,,ESTO,11 Statistical discrepancy,07.17 Other products,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2445,NINTH,,,ESTO,11 Statistical discrepancy,07.99 PetProd nonspecified,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2446,NINTH,,,ESTO,11 Statistical discrepancy,08.01 Natural gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2447,NINTH,,,ESTO,11 Statistical discrepancy,08.02 LNG,False,BOTH,,active_pair_row_has_blank_key
