comparison_scope,target_system,target_pair,current_component_signature,compiled_component_signature,component_status
NINTH,NINTH,15_02_02_freight::16_05_biogasoline,NINTH:NINTH:15_02_02_freight::16_05_biogasoline,NINTH:NINTH:15_02_02_freight::16_05_biogasoline,unchanged
NINTH,NINTH,15_02_02_freight::16_06_biodiesel,NINTH:NINTH:15_02_02_freight::16_06_biodiesel,NINTH:NINTH:15_02_02_freight::16_06_biodiesel,unchanged
NINTH,NINTH,15_02_02_freight::16_x_efuel,NINTH:NINTH:15_02_02_freight::16_x_efuel,NINTH:NINTH:15_02_02_freight::16_x_efuel,unchanged
NINTH,NINTH,15_02_02_freight::16_x_hydrogen,NINTH:NINTH:15_02_02_freight::16_x_hydrogen,NINTH:NINTH:15_02_02_freight::16_x_hydrogen,unchanged
NINTH,NINTH,15_02_02_freight::17_electricity,NINTH:NINTH:15_02_02_freight::17_electricity,NINTH:NINTH:15_02_02_freight::17_electricity,unchanged
NINTH,NINTH,15_02_road::02_coal_products,NINTH:NINTH:15_02_road::02_coal_products,NINTH:NINTH:15_02_road::02_coal_products,unchanged
NINTH,NINTH,15_02_road::07_01_motor_gasoline,NINTH:NINTH:15_02_road::07_01_motor_gasoline,NINTH:NINTH:15_02_road::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_02_road::07_06_kerosene,NINTH:NINTH:15_02_road::07_06_kerosene,NINTH:NINTH:15_02_road::07_06_kerosene,unchanged
NINTH,NINTH,15_02_road::07_07_gas_diesel_oil,NINTH:NINTH:15_02_road::07_07_gas_diesel_oil,NINTH:NINTH:15_02_road::07_07_gas_diesel_oil,unchanged
NINTH,NINTH,15_02_road::07_08_fuel_oil,NINTH:NINTH:15_02_road::07_08_fuel_oil,NINTH:NINTH:15_02_road::07_08_fuel_oil,unchanged
NINTH,NINTH,15_02_road::07_09_lpg,NINTH:NINTH:15_02_road::07_09_lpg,NINTH:NINTH:15_02_road::07_09_lpg,unchanged
NINTH,NINTH,15_02_road::08_01_natural_gas,NINTH:NINTH:15_02_road::08_01_natural_gas,NINTH:NINTH:15_02_road::08_01_natural_gas,unchanged
NINTH,NINTH,15_02_road::16_01_biogas,NINTH:NINTH:15_02_road::16_01_biogas,NINTH:NINTH:15_02_road::16_01_biogas,unchanged
NINTH,NINTH,15_02_road::16_05_biogasoline,NINTH:NINTH:15_02_road::16_05_biogasoline,NINTH:NINTH:15_02_road::16_05_biogasoline,unchanged
NINTH,NINTH,15_02_road::16_06_biodiesel,NINTH:NINTH:15_02_road::16_06_biodiesel,NINTH:NINTH:15_02_road::16_06_biodiesel,unchanged
