branch_path,template_support_count,template_files,explicit_fuel_leaf_path,pair_registry_role
Demand\All demand aggregated\Buildings\Gas and diesel oil,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Gas works gas,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Geothermal,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Heat,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Hydrogen,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Industrial waste,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Kerosene,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Kerosene type jet fuel,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\LPG,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Lignite,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
